"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"UniRef90_A0A0E1X896"	"sick"	"SM"	"sickSM"	-0.649039035320176	1.57857971460668	0.300613741059019	3.55893023185061e-06	0.000383040217810215	7.11784779771682e-06	0.00043038134105801	NA	"abundance"	37	33
"UniRef90_A0A0E1X896|g__Blautia.s__Blautia_obeum"	"sick"	"SM"	"sickSM"	-0.730413178404458	1.57857971460668	0.30350089625183	2.31023504326799e-06	0.000383040217810215	4.62046474935004e-06	0.00043038134105801	NA	"abundance"	37	32
"UniRef90_A5ZYV3"	"sick"	"SM"	"sickSM"	-1.75357792901691	1.57857971460668	0.537930695575184	4.30382267202489e-06	0.000383040217810215	8.6076268211602e-06	0.00043038134105801	NA	"abundance"	37	32
"UniRef90_A5ZYV3|g__Blautia.s__Blautia_obeum"	"sick"	"SM"	"sickSM"	-1.75357792901691	1.57857971460668	0.537930695575184	3.82241740892741e-06	0.000383040217810215	7.64482020697998e-06	0.00043038134105801	NA	"abundance"	37	32
"UniRef90_A0A174WHN0"	"sick"	"SM"	"sickSM"	-1.72276671253771	1.57857971460668	0.574804661705685	1.71689543118081e-05	0.00122242954700074	3.4337613850624e-05	0.00137350455402496	NA	"abundance"	37	28
"UniRef90_A0A174IWH6"	"sick"	"SM"	"sickSM"	-1.82794774231724	1.57857971460668	0.661892519421023	4.68878228734315e-05	0.00264274490570645	9.37734472789292e-05	0.00296929914808505	NA	"abundance"	37	29
"UniRef90_A0A174IWH6|g__Prevotella.s__Prevotella_copri"	"sick"	"SM"	"sickSM"	-1.82794774231724	1.57857971460668	0.661892519421023	5.19640852245651e-05	0.00264274490570645	0.000103925470182977	0.00296929914808505	NA	"abundance"	37	29
"UniRef90_R6Q8L0|g__Faecalibacterium.s__Faecalibacterium_prausnitzii"	"sick"	"SM"	"sickSM"	-1.94083619954712	1.57857971460668	0.756655967595659	9.84612073304802e-05	0.00438152372620637	0.000196912720051612	0.00492281800129029	NA	"abundance"	37	36
"UniRef90_R6Q8L0"	"sick"	"SM"	"sickSM"	-1.90080359054274	1.57857971460668	0.762829055820544	0.0001249511957786	0.0049425139663535	0.000249886778755873	0.00555303952790829	NA	"abundance"	37	36
"UniRef90_A0A174VAI6"	"sick"	"SM"	"sickSM"	-2.56010249222434	1.57857971460668	0.918099688636761	0.000176026656362183	0.00509681964369137	0.000352022327340615	0.00572623071249213	NA	"abundance"	37	29
"UniRef90_A0A174VAI6|g__Prevotella.s__Prevotella_copri"	"sick"	"SM"	"sickSM"	-2.56010249222434	1.57857971460668	0.918099688636761	0.000186119818449404	0.00509681964369137	0.000372204996311988	0.00572623071249213	NA	"abundance"	37	29
"UniRef90_A0A174Y3E0"	"sick"	"SM"	"sickSM"	-2.58493144105851	1.57857971460668	0.923445727072316	0.000177800084925406	0.00509681964369137	0.000355568556980612	0.00572623071249213	NA	"abundance"	37	29
"UniRef90_A0A174Y3E0|g__Prevotella.s__Prevotella_copri"	"sick"	"SM"	"sickSM"	-2.58493144105851	1.57857971460668	0.923445727072316	0.000173641382772871	0.00509681964369137	0.000347252614215931	0.00572623071249213	NA	"abundance"	37	29
"UniRef90_A0A174IYG9"	"sick"	"SM"	"sickSM"	-2.05297648770423	1.57857971460668	0.809870211192025	0.000212969384088657	0.00525003484978347	0.000425893412218755	0.00589826311396442	NA	"abundance"	37	29
"UniRef90_A0A174IYG9|g__Prevotella.s__Prevotella_copri"	"sick"	"SM"	"sickSM"	-2.05297648770423	1.57857971460668	0.809870211192025	0.000221209333558292	0.00525003484978347	0.000442369733547331	0.00589826311396442	NA	"abundance"	37	29
"UniRef90_A0A174WHN0|g__Prevotella.s__Prevotella_copri"	"sick"	"SM"	"sickSM"	-1.0075949511775	1.57857971460668	0.573795366208987	0.000362171031248248	0.00805830544527353	0.000724210894640622	0.00905263618300777	NA	"abundance"	37	27
"UniRef90_D1PAK7"	"sick"	"SM"	"sickSM"	-3.33483764127391	1.57857971460668	1.19417176430351	0.000585010274414044	0.0115702032050778	0.00116967831180692	0.0129964256867435	NA	"abundance"	37	24
"UniRef90_D1PAK7|g__Prevotella.s__Prevotella_copri"	"sick"	"SM"	"sickSM"	-3.33483764127391	1.57857971460668	1.19417176430351	0.00058120015672003	0.0115702032050778	0.00116206251981789	0.0129964256867435	NA	"abundance"	37	24
"UniRef90_A0A174JTA1"	"sick"	"SM"	"sickSM"	-1.27718227326074	1.57857971460668	0.703805549633926	0.000813139860606826	0.0144738895188015	0.00162561852478075	0.0162561852478075	NA	"abundance"	37	27
"UniRef90_A0A174JTA1|g__Prevotella.s__Prevotella_copri"	"sick"	"SM"	"sickSM"	-1.27718227326074	1.57857971460668	0.703805549633926	0.000778071312743212	0.0144738895188015	0.00155553723051871	0.0162561852478075	NA	"abundance"	37	27
"UniRef90_A0A174PA28"	"sick"	"SM"	"sickSM"	-1.80874877021459	1.57857971460668	0.878304220569427	0.000961745949324744	0.0155627980890731	0.00192256694337845	0.0174778813034404	NA	"abundance"	37	29
"UniRef90_A0A174PA28|g__Prevotella.s__Prevotella_copri"	"sick"	"SM"	"sickSM"	-1.80874877021459	1.57857971460668	0.878304220569427	0.000952341923790789	0.0155627980890731	0.00190377689244177	0.0174778813034404	NA	"abundance"	37	29
"UniRef90_A0A174RM08"	"sick"	"SM"	"sickSM"	-1.2984453218153	1.57857971460668	0.754028276869426	0.00125076176039807	0.0193596168131179	0.00249995911581486	0.0217387749201292	NA	"abundance"	37	27
"UniRef90_A0A174RM08|g__Prevotella.s__Prevotella_copri"	"sick"	"SM"	"sickSM"	-1.2984453218153	1.57857971460668	0.754028276869426	0.00131556255268284	0.0195141778647954	0.00262939440053565	0.0219116200044638	NA	"abundance"	37	27
"UniRef90_A0A0H2VC20"	"sick"	"SM"	"sickSM"	3.07960018689595	0	0.970600772902923	0.00150934677448509	0.020666440450642	0.00301641542128453	0.0232031955483425	NA	"prevalence"	37	29
"UniRef90_A0A0H2VC20|g__Escherichia.s__Escherichia_coli"	"sick"	"SM"	"sickSM"	3.07960018689595	0	0.970600772902923	0.00150934677448509	0.020666440450642	0.00301641542128453	0.0232031955483425	NA	"prevalence"	37	29
"UniRef90_A0A174LQ87"	"sick"	"SM"	"sickSM"	-1.54925855259223	1.57857971460668	0.870396131901413	0.00206886854633304	0.0266374206321893	0.00413345687560407	0.0298983335897244	NA	"abundance"	37	26
"UniRef90_A0A174LQ87|g__Prevotella.s__Prevotella_copri"	"sick"	"SM"	"sickSM"	-1.54925855259223	1.57857971460668	0.870396131901413	0.00209507802725084	0.0266374206321893	0.00418576670256141	0.0298983335897244	NA	"abundance"	37	26
"UniRef90_V0SIR0"	"sick"	"SM"	"sickSM"	3.2060702842062	0	1.09533566196944	0.00342225973459994	0.0406108155172526	0.00683280760750881	0.0455520507167254	NA	"prevalence"	37	31
"UniRef90_V0SIR0|g__Escherichia.s__Escherichia_coli"	"sick"	"SM"	"sickSM"	3.2060702842062	0	1.09533566196944	0.00342225973459994	0.0406108155172526	0.00683280760750881	0.0455520507167254	NA	"prevalence"	37	31
"UniRef90_A0A1B2H845"	"sick"	"SM"	"sickSM"	3.04358049905273	0	1.09406632674147	0.00540420869839131	0.0601218217696033	0.0107792119251269	0.0673700745320428	NA	"prevalence"	37	22
