feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
UniRef90_A0A192CAU6	group	6	-5.08222791108416	1.24051906867215	24	22	0.000560933444940123	0.0566863991612994
UniRef90_A0A192CAU6.g__Escherichia.s__Escherichia_coli	group	6	-5.08222791108416	1.24051906867215	24	22	0.000560933444940123	0.0566863991612994
UniRef90_F4NKV9	group	6	-7.86609042859132	1.79905713087075	24	22	0.000294637235193369	0.0566863991612994
UniRef90_F4NKV9.g__Escherichia.s__Escherichia_coli	group	6	-7.86609042859132	1.79905713087075	24	22	0.000294637235193369	0.0566863991612994
UniRef90_A0A2H4TVT9	group	6	-5.72880083790177	1.39987742881224	24	21	0.000566863991612994	0.0566863991612994
UniRef90_A0A2H4TVT9.g__Escherichia.s__Escherichia_coli	group	6	-5.72880083790177	1.39987742881224	24	21	0.000566863991612994	0.0566863991612994
UniRef90_A0A1D7PS63	group	6	-5.03515631633631	1.30677470671957	24	22	0.000991626506157759	0.0743719879618319
UniRef90_A0A1D7PS63.g__Escherichia.s__Escherichia_coli	group	6	-5.03515631633631	1.30677470671957	24	22	0.000991626506157759	0.0743719879618319
UniRef90_E1IVY0	group	6	-4.58117924356132	1.258353284317	24	22	0.00162725632307505	0.0808904158822783
UniRef90_E1IVY0.g__Escherichia.s__Escherichia_coli	group	6	-4.58117924356132	1.258353284317	24	22	0.00162725632307505	0.0808904158822783
UniRef90_A0A2H4TTX9	group	6	-3.80069161006736	1.03032486242344	24	22	0.00145456864946843	0.0808904158822783
UniRef90_A0A2H4TTX9.g__Escherichia.s__Escherichia_coli	group	6	-3.80069161006736	1.03032486242344	24	22	0.00145456864946843	0.0808904158822783
UniRef90_A0A0E1LDK4	group	6	-5.14913873205247	1.46315921643611	24	22	0.00215707775686075	0.0808904158822783
UniRef90_A0A0E1LDK4.g__Escherichia.s__Escherichia_coli	group	6	-5.14913873205247	1.46315921643611	24	22	0.00215707775686075	0.0808904158822783
UniRef90_V0SIR0	group	6	-5.67215967246922	1.60318587034479	24	21	0.0020648118484346	0.0808904158822783
UniRef90_V0SIR0.g__Escherichia.s__Escherichia_coli	group	6	-5.67215967246922	1.60318587034479	24	21	0.0020648118484346	0.0808904158822783
UniRef90_A0A0H2VC20	group	6	-5.29285741139202	1.54952447383334	24	19	0.002739695430189	0.0849608422241182
UniRef90_A0A0H2VC20.g__Escherichia.s__Escherichia_coli	group	6	-5.29285741139202	1.54952447383334	24	19	0.002739695430189	0.0849608422241182
UniRef90_U9YPG6	group	6	-4.97185249705755	1.4667460582073	24	22	0.00290953138168496	0.0849608422241182
UniRef90_U9YPG6.g__Escherichia.s__Escherichia_coli	group	6	-4.97185249705755	1.4667460582073	24	22	0.00290953138168496	0.0849608422241182
UniRef90_I2WAU1	group	6	-5.46829920811075	1.62744108391912	24	20	0.003115230881551	0.0849608422241182
UniRef90_I2WAU1.g__Escherichia.s__Escherichia_coli	group	6	-5.46829920811075	1.62744108391912	24	20	0.003115230881551	0.0849608422241182
UniRef90_U9YLK3	group	6	-4.31796726523535	1.44816564324226	24	22	0.00737356322377095	0.184339080594274
UniRef90_U9YLK3.g__Escherichia.s__Escherichia_coli	group	6	-4.31796726523535	1.44816564324226	24	22	0.00737356322377095	0.184339080594274
