feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ORNDEG.PWY..superpathway.of.ornithine.degradation	group	6	-2.9128586397346	0.538416718869289	24	24	2.69794050753512e-05	0.0194944513050963
PWY.622..starch.biosynthesis	group	4	7.03613919792182	1.30273811518283	24	13	2.75345357416614e-05	0.0194944513050963
X1CMET2.PWY..folate.transformations.III..E..coli.	group	6	0.580166008184175	0.118851933349363	24	24	9.03144640324565e-05	0.0362552488583735
ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation	group	6	-4.82705011029784	1.27338057673954	24	22	0.00114704928480089	0.0362552488583735
AST.PWY..L.arginine.degradation.II..AST.pathway.	group	6	-4.60463487442511	1.23168419826176	24	22	0.00129567475957994	0.0362552488583735
CARNMET.PWY..L.carnitine.degradation.I	group	6	-4.71646456027462	1.18554918146866	24	22	0.00074014601207924	0.0362552488583735
COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	group	6	0.703934889758394	0.192072305114341	24	24	0.00153770871580345	0.0362552488583735
DARABCATK12.PWY..D.arabinose.degradation.I	group	6	-4.50372770552876	1.10789131381795	24	22	0.000604128515235097	0.0362552488583735
DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	group	6	-3.59190328748377	0.927826677122218	24	22	0.000950381369906646	0.0362552488583735
ECASYN.PWY..enterobacterial.common.antigen.biosynthesis	group	6	-4.17769752789193	1.14633822777199	24	23	0.00161305132632594	0.0362552488583735
FAO.PWY..fatty.acid..beta..oxidation.I..generic.	group	6	-4.61895354482763	1.17300839018997	24	23	0.000813824239441335	0.0362552488583735
FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli.	group	4	5.90395847386714	1.45924677714164	24	11	0.000631932493261112	0.0362552488583735
GLYCOL.GLYOXDEG.PWY..superpathway.of.glycol.metabolism.and.degradation	group	6	-4.28201794129793	0.923078059078288	24	23	0.000158381029433553	0.0362552488583735
HCAMHPDEG.PWY..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation.to.2.hydroxypentadienoate	group	6	-4.50103989606286	1.21991405918174	24	22	0.0014518332675225	0.0362552488583735
HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.	group	6	-5.2472796147227	1.26605113004079	24	23	0.000501668480992011	0.0362552488583735
HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I	group	6	-3.35737636960027	0.897793007709636	24	24	0.00129235157918835	0.0362552488583735
