#Bin	Completeness	Contamination
cleaned_SRR30598653_bin.4.orig_filtered_kept_contigs	95.57	0.99
cleaned_SRR30598643_bin.28.orig_filtered_kept_contigs	99.8	0
cleaned_SRR30598630_bin.22.strict_filtered_kept_contigs	94.04	0.49
cleaned_SRR30598621_bin.36.permissive_filtered_kept_contigs	94.77	0.94
cleaned_SRR30598637_bin.8.orig_filtered_kept_contigs	90.58	3.16
cleaned_SRR30598646_bin.56.orig_filtered_kept_contigs	99.98	0.32
cleaned_SRR30598640_bin.30.orig_filtered_kept_contigs	98.58	0.1
cleaned_SRR30598651_bin.19.orig_filtered_kept_contigs	95.89	1.36
cleaned_SRR30598642_bin.51.permissive_filtered_kept_contigs	99.96	0.08
cleaned_SRR30598642_bin.56.permissive_filtered_kept_contigs	97.3	0.4
cleaned_SRR30598626_bin.62.strict_filtered_kept_contigs	95.46	1.39
cleaned_SRR30598638_bin.26.orig_filtered_kept_contigs	94.38	0.26
cleaned_SRR30598631_bin.4.orig_filtered_kept_contigs	97.8	0.05
cleaned_SRR30598630_bin.38.orig_filtered_kept_contigs	91.03	0
cleaned_SRR30598630_bin.33.orig_filtered_kept_contigs	92.3	0.25
cleaned_SRR30598642_bin.41.orig_filtered_kept_contigs	95.79	0.07
cleaned_SRR30598622_bin.12.orig_filtered_kept_contigs	99.99	1.8
cleaned_SRR30598635_bin.41.orig_filtered_kept_contigs	91.16	0.34
cleaned_SRR30598635_bin.27.orig_filtered_kept_contigs	98.72	0.22
cleaned_SRR30598653_bin.34.strict_filtered_kept_contigs	99.74	1.03
cleaned_SRR30598618_clean_bin.3.orig_filtered_kept_contigs	95.73	2.1
cleaned_SRR30598623_bin.10.strict_filtered_kept_contigs	99.99	1.27
cleaned_SRR30598642_bin.44.orig_filtered_kept_contigs	98.08	0.25
cleaned_SRR30598644_bin.29.strict_filtered_kept_contigs	94.52	3.24
cleaned_SRR30598626_bin.37.orig_filtered_kept_contigs	90.73	2.12
cleaned_SRR30598626_bin.34.orig_filtered_kept_contigs	100	0.34
cleaned_SRR30598626_bin.38.strict_filtered_kept_contigs	91.54	0.02
cleaned_SRR30598626_bin.41.strict_filtered_kept_contigs	92.11	1.48
cleaned_SRR30598626_bin.27.strict_filtered_kept_contigs	99.89	0.29
