preqc_genome_name,postqc_genome_name,sample_or_strain_name,genome_status,checkm2_postqc_Completeness,checkm2_postqc_Contamination,checkm2_postqc_Genome_Size,checkm2_preqc_Completeness,checkm2_preqc_Contamination,checkm2_preqc_Genome_Size,gtdbtk_classification,gtdbtk_closest_genome_reference,gunc_postqc_n_contigs,gunc_postqc_pass.GUNC,gunc_preqc_n_contigs,gunc_preqc_pass.GUNC
SRR30598619_bin.20.orig.fa,cleaned_SRR30598619_bin.20.orig_filtered_kept_contigs.fa,SRR30598619,MAG,94.81,0.05,2281003,93.23,0.04,2287325,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium,GCF_029023785.1,330,TRUE,333,TRUE
SRR30598619_bin.21.orig.fa,cleaned_SRR30598619_bin.21.orig_filtered_kept_contigs.fa,SRR30598619,MAG,96.88,1.14,1959168,96.88,1.14,1959168,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900757655,GCA_900757655.1,96,TRUE,96,TRUE
SRR30598619_bin.3.orig.fa,cleaned_SRR30598619_bin.3.orig_filtered_kept_contigs.fa,SRR30598619,MAG,92.68,0.07,2779276,92.7,0.07,2788308,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis,GCF_000020605.1,65,TRUE,66,TRUE
SRR30598619_bin.30.orig.fa,cleaned_SRR30598619_bin.30.orig_filtered_kept_contigs.fa,SRR30598619,MAG,98.75,0.84,3186145,98.75,0.84,3196378,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__,,65,TRUE,66,TRUE
SRR30598619_bin.32.orig.fa,cleaned_SRR30598619_bin.32.orig_filtered_kept_contigs.fa,SRR30598619,MAG,94.86,0.51,1900417,94.91,0.54,1955150,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum hominis,GCF_014288055.1,75,TRUE,79,FALSE
SRR30598619_bin.33.orig.fa,cleaned_SRR30598619_bin.33.orig_filtered_kept_contigs.fa,SRR30598619,MAG,94.77,1.2,2010080,94.77,1.2,2011713,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__Evtepia sp004556345,GCA_004556345.1,74,TRUE,75,TRUE
SRR30598619_bin.36.orig.fa,cleaned_SRR30598619_bin.36.orig_filtered_kept_contigs.fa,SRR30598619,MAG,97.83,4.24,3028720,99.21,5.4,3079487,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis,GCA_004000625.1,193,TRUE,195,TRUE
SRR30598619_bin.38.orig.fa,cleaned_SRR30598619_bin.38.orig_filtered_kept_contigs.fa,SRR30598619,MAG,98.39,3.5,3842877,99.11,3.48,3871944,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella hominis,GCF_004535825.1,124,TRUE,127,TRUE
SRR30598619_bin.39.orig.fa,cleaned_SRR30598619_bin.39.orig_filtered_kept_contigs.fa,SRR30598619,MAG,98.13,0.45,2410805,98.13,0.45,2410805,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,,27,TRUE,27,TRUE
SRR30598619_bin.46.strict.fa,cleaned_SRR30598619_bin.46.strict_filtered_kept_contigs.fa,SRR30598619,MAG,97.93,0.06,4967379,98.22,0.15,5026687,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei,GCF_013009555.1,78,TRUE,131,TRUE
